Date;Plat
2011-01-04;Crêpe au fromage
2011-01-04;haricots beurre / haricots plats
2011-01-11;Tomme bio
2011-01-12;Jambon fumé
2011-01-12;St Nectaire
2011-01-13;carottes râpées bio
2011-01-14;Pomme
2011-01-17;gruyère râpée
2011-01-18;Choux rouges
2011-01-18;Sauté de porc Forestière
2011-01-18;Lait fermier
2011-01-19;Betteraves au chèvre
2011-01-19;Kiwi
2011-01-20;petits pois  à l'anglaise
2011-01-21;beurre blanc
2011-01-21;riz pilaf
2011-01-26;Gruyère
2011-01-26;Clémentines
2011-02-02;Chandeleur
2011-02-02;Mâche au surimi
2011-02-04;calamar armoricaine
2011-02-04;Kiwi
2011-02-07;Pomme
2011-02-08;saucisse de volaille
2011-02-08;crème anglaise
2011-02-09;poisson surgelee
2011-02-15;salade de mâche à la mimolette
2011-02-24;Crème vanille
2011-02-28;pamplemousse
2011-03-01;Camembert
2011-03-02;Frites
2011-03-03;et râpé
2011-03-04;Potage de légumes
2011-03-04;Epinards
2011-03-07;salade
2011-03-07;surimi
2011-03-07;Poulet rôti
2011-03-10;Choux rouges
2011-03-14;Mâche
2011-03-15;Choux blancs bio à la mimolette
2011-03-15;Marmelade de pommes
2011-03-17;Tomme bio
2011-03-18;radis / beurre
2011-03-21;MANGER BOUGER
2011-03-21;Abricots secs
2011-03-22;rôti de bœuf
2011-03-23;Purée de céleri
2011-03-23;St Paulin
2011-03-25;Duo de poisson cube
2011-03-25;Ananas
2011-03-29;Pomme
2011-03-31;sauté de dinde au curry
2011-04-08;Ananas
2011-04-12;Sauté de veau Marengo
2011-04-12;Haricots verts
2011-04-12;Orange
2011-04-13;panaché de choux blancs et rouges
2011-04-19;Omelette
2011-04-19;semoule au lait maison
2011-04-22;salade des Iles (Carottes, surimi, ananas)
2011-04-26;Bœuf Bourguignon
2011-04-26;petits pois
2011-04-28;Concombres
2011-04-28;Frites
2011-04-29;Kiwi
2011-05-05;yaourt aromatisé
2011-05-06;Cube de poisson Dieppoise
2011-05-10;Pain perdu
2011-05-12;Rôti de porc au jus
2011-05-19;petits pois
2011-05-20;Carottes râpées bio
2011-05-23;Riz
2011-05-24;Gouda
2011-05-26;Beignet aux pommes
2011-05-27;betteraves en des
2011-05-30;st Nectaire
2011-05-30;ananas
2011-06-01;Tomme blanche
2011-06-02;Ascension
2011-06-10;Tome bio
2011-06-16;Blanquette de veau
2011-06-16;pomme de terre rissolées
2011-06-22;Riz
2011-06-22;Tome blanche
2011-06-23;Tarte au fromage
2011-06-28;ketchup
2011-06-29;Carottes râpées
2011-06-30;Chèvre
2011-07-01;Chips
2011-07-06;Gaspacho
2011-07-06;Cerises
2011-07-08;Yaourt aro
2011-07-15;Pommes rissolées
2011-07-18;salade verte
2011-07-19;nectarine
2011-07-27;St paulin
